"Card Name","Card ID","Short Card ID","Card URL","Board Name","Board ID","List Name","List ID","Members","Labels","Card Created Date","Due Date","Description","Checklist Items Total","Checklist Items Completed","Attachments","Location","Votes","Number of Comments","Last Activity Date"
"06/01/25 - Trio Bolsistas","677be42deb633fdeb7b2615b",118,"https://trello.com/c/0iRg42t4/118-06-01-25-trio-bolsistas","Programa Em Rede - Ciclo 2","64624187bb4f9c38ba5d9d52","DOCUMENTOS E REUNIÕES DE EQUIPE","647f94dd8cbad12a13685347","Cecilia Hasner, Gabriel T., Programa Em Rede, YOGUI","ESTRUTURA DE APOIO - green_light","2025-01-06 11:09","2025-01-07","Pauta:

1. Evento com New Castle University - Prof. Cunningham - contato do Rodolpho
2. Internacionalização - Chile, Bin
3. Economia Azul - qual estratégia o Em Rede irá ter em 2025?
4. Em Rede Reta Final: faltam 2 grupos de bolsistas (tarefas)
5. Edital dos NITs Ciclo 3

![image.png](https://trello.com/1/cards/677be42deb633fdeb7b2615b/attachments/677be437cdcee7bc4952dc32/download/image.png)

‌

Encaminhamento:

1. evento dia 27/01 - falta definir horário para reservar o Zoom e conseguir intérprete
2. Internacionalização/Alianças Estratégicas/Economia Azul - criar 2 webinar sobre o tema Economia Azul; CRIAR uma REDE nacional e internacional (governança e administração), criando marca, processo de certificação, trabalhar por áreas; BIN - 2026 será em Ribeirão Preto - promover a associação independente de cada NIT ao Bin; projeto/programa INVENTEI - desenvolvimento de deeptech;
3. Reta Final: tarefa para bolsistas de captação de recursos (painel de dezembro) - “Mapeamento dos principais fomentos para a respectiva instituição em 2025, justificando os 5 principais para que a organização se aplique.”, emissão de certificado do Painel via Sympla; organização do evento em Março (eu e Yogui); uso de recursos do Em Rede;
4. Novo plano de trabalho para o ciclo 3.",,,"image.png : https://trello.com/1/cards/677be42deb633fdeb7b2615b/attachments/677be437cdcee7bc4952dc32/download/image.png",,0,"0 comments","2025-01-13T14:26:59.557Z"
"Reunião 28/10/24","671fa0ae5abe3417f3c2fb63",111,"https://trello.com/c/zcQgH6FY/111-reunião-28-10-24","Programa Em Rede - Ciclo 2","64624187bb4f9c38ba5d9d52","DOCUMENTOS E REUNIÕES DE EQUIPE","647f94dd8cbad12a13685347","Cecilia Hasner, Gabriel T., Programa Em Rede","","2024-10-28 11:33","2024-10-29","![WhatsApp_Image_2024-10-28_at_11.39.19.jpeg](https://trello.com/1/cards/671fa0ae5abe3417f3c2fb63/attachments/671fa819f3aed1a9864b7eae/download/WhatsApp_Image_2024-10-28_at_11.39.19.jpeg)",,,"WhatsApp Image 2024-10-28 at 11.39.19.jpeg : https://trello.com/1/cards/671fa0ae5abe3417f3c2fb63/attachments/671fa819f3aed1a9864b7eae/download/WhatsApp_Image_2024-10-28_at_11.39.19.jpeg",,0,"0 comments","2025-01-13T14:26:59.556Z"
"Reunião equipe trio 07/10/24","6703ebfda1dea29e7b50d85b",109,"https://trello.com/c/RzCkfP8v/109-reunião-equipe-trio-07-10-24","Programa Em Rede - Ciclo 2","64624187bb4f9c38ba5d9d52","DOCUMENTOS E REUNIÕES DE EQUIPE","647f94dd8cbad12a13685347","Cecilia Hasner, Gabriel T., Programa Em Rede, YOGUI","","2024-10-07 11:11","2024-10-08","Pauta:

1. Arte do Webinar Internacional;
2. Convites Seama - Thaís Volpi [thaisvolpi@gmail.com](mailto:thaisvolpi@gmail.com ""‌""), [thais.volpi@seama.es.gov.br](mailto:thais.volpi@seama.es.gov.br ""‌"") e Eizen [eizen.wanderley@seama.es.gov.br](mailto:eizen.wanderley@seama.es.gov.br ""‌"") e copiar  [gabinete@seama.es.gov.br](mailto:gabinete@seama.es.gov.br ""‌"") ;
3. Fapes - confirmar dia 25/10 Reunião prévia (fazer convite para palestrantes) e plataforma Zoom para interpretação simultânea dia 13/11.;
4. Fapes - critérios para credenciamento de OS? conversar com Elton sobre alternativas? Quando ele tem que deixar pronto o edital para os NITs?;
5. Evento com Findes dia 21/11
6. Grupo dos bolsistas; entrega destes bolsistas; indicadores do nosso trabalho (teremos 1 indicador de internacionalização; 3 trabalhos de Prospecção tecnológica - a serem publicados - qual revista?????; identificar outros indicadores)

[https://www.iatlantic.eu/our-work/work-packages/](https://www.iatlantic.eu/our-work/work-packages/ ""smartCard-inline"")

‌

- **Evento do dia 21/11** - Gabriel irá alinhar com Humberto sobre uso dos recursos
- **Indicadores/métricas** das entregas do Em Rede: Yogui irá listar ações voltadas para os eixos de Alianças Estratégicas.
- [Bin@Porto – 2024 (up.pt)](https://fe.up.pt/binporto/2024/ ""‌"")
- [https://docs.google.com/document/d/1mzQ3kDJj19yIfZzONunQVngzNVNjnf7E/edit?usp=drive_link&ouid=108471016776207647458&rtpof=true&sd=true](https://docs.google.com/document/d/1mzQ3kDJj19yIfZzONunQVngzNVNjnf7E/edit?usp=drive_link&ouid=108471016776207647458&rtpof=true&sd=true ""smartCard-inline"")
- **Grupo de Marketing** - ninguém se manifestou, só cobrar as entregas dos 3 workshops
- **Grupo de Captação de Recursos** - AGENDAR UM ENCONTRO PARA DEBATER O TEMA ! Geração de receitas (via projetos de P&DI, Encomendas Tecnológicas e Licenciamento de PI e Transferência de Know How ) e não captação de recursos (isso é muito ligado a fomento). Instituto Eldorado - pode ser um exemplo para eles.

![image.png](https://trello.com/1/cards/6703ebfda1dea29e7b50d85b/attachments/6703ecdc716e90944600b24b/download/image.png)",,,"image.png : https://trello.com/1/cards/6703ebfda1dea29e7b50d85b/attachments/6703ecdc716e90944600b24b/download/image.png",,0,"0 comments","2024-10-07T15:09:13.808Z"
"Reunião 25/09/24 - bimestral Coordenadores","66f44118387039b16d856beb",105,"https://trello.com/c/d952uiyR/105-reunião-25-09-24-bimestral-coordenadores","Programa Em Rede - Ciclo 2","64624187bb4f9c38ba5d9d52","DOCUMENTOS E REUNIÕES DE EQUIPE","647f94dd8cbad12a13685347","Cecilia Hasner, Programa Em Rede","GESTÃO - blue","2024-09-25 13:58","2024-09-26","**Participantes**: Humberto, Anilton, José Aires, Cecilia, Gabriel e Ricardo Yogui.

**Pauta**:

- atualizações sobre as evidências e relatórios e a prestação de contas para a FAPES (reforçar que a FAPES está ciente dos relatórios que não estão sendo entregues, ou estão incompletos ou atrasados )
- devolutiva sobre o evento que contou com a presença do Yogui sobre boas práticas dos NITs e mapeamento de potenciais
- atualizações sobre o grupo de bolsistas
- atualizações sobre o seminário internacional
- alinhamento e programação do dia 26/09 - Planejamento de Marketing e alinhamento
- Alinhamento com EDP como aliança estratégica (Plano de Trabalho)

‌

**Encaminhamento**: maior engajamento dos bolsistas nas iniciativas. Encaminhar e-mail para a identificação de espaço maker (impressora 3D). Próxima reunião dia 21 de novembro às 14 horas, de forma presencial na Ufes.

![image.png](https://trello.com/1/cards/66f44118387039b16d856beb/attachments/66f445abf87e65907472abfd/download/image.png)

![image.png](https://trello.com/1/cards/66f44118387039b16d856beb/attachments/66f446ba383f0d3c56134301/download/image.png)",,,"image.png : https://trello.com/1/cards/66f44118387039b16d856beb/attachments/66f445abf87e65907472abfd/download/image.png
image.png : https://trello.com/1/cards/66f44118387039b16d856beb/attachments/66f446ba383f0d3c56134301/download/image.png",,0,"0 comments","2024-10-07T14:10:23.282Z"
"Reunião Em Rede e Miriam 12/09","66e2fc916f87219a93d3ad4e",101,"https://trello.com/c/pzCek5qT/101-reunião-em-rede-e-miriam-12-09","Programa Em Rede - Ciclo 2","64624187bb4f9c38ba5d9d52","DOCUMENTOS E REUNIÕES DE EQUIPE","647f94dd8cbad12a13685347","Cecilia Hasner, Programa Em Rede","","2024-09-12 11:37","2024-09-13","**Pauta:** apresentação do Programa em Rede para Miriam Magdala.

Após a apresentação, Miriam sugeriu reunião com Yuri Leite das Relações Internacionais para conseguir um tradutor simultaneo no Seminario Internacional em Economia Azul.

Também teve interesse em colaborar no evento de Interação ICT-Empresa. Sugestão em início de dezembro. Mas, esse evento de dezembro está sendo pensado em público: coordenadores de projetos de extensão, coordenadores de programas de pós e convidar representantes dos centros (ciencias exatas, química, engenharias etc). Programação pode ser: manhã - marco legal, e na parte da tarde, fazer algo mais interativo (trazer as ICTs privadas, jurídico, experiência de UF de outros estados, ex. UFMG).

Empresas ou ICT privada - necessidade de ter estas empresas para mediar o NIT e os Projetos de Extensão com a FEST.

![image.png](https://trello.com/1/cards/66e2fc916f87219a93d3ad4e/attachments/66e301cd1ad7f4e3b45304a8/download/image.png)",,,"image.png : https://trello.com/1/cards/66e2fc916f87219a93d3ad4e/attachments/66e2fcb44fd6d60b3ff60fc4/download/image.png
image.png : https://trello.com/1/cards/66e2fc916f87219a93d3ad4e/attachments/66e301cd1ad7f4e3b45304a8/download/image.png",,0,"0 comments","2024-09-18T14:39:38.057Z"
"REUNIÃO 27/08","66cdd613b81dc3d35774f0f8",97,"https://trello.com/c/ErAo3VtT/97-reunião-27-08","Programa Em Rede - Ciclo 2","64624187bb4f9c38ba5d9d52","DOCUMENTOS E REUNIÕES DE EQUIPE","647f94dd8cbad12a13685347","Cecilia Hasner, Gabriel T., Programa Em Rede, YOGUI","","2024-08-27 10:35","2024-08-28","**Pauta:**

- Pós-evento do dia 26/08
- Principais Pontos
- Próximos Passos
- Cronograma

**Desdobramento:**

SETEMBRO - Workshop ONLINE sobre Mapeamento de Processos e Rotinas - ""despacho"" - reuniões ou sprints semanais.

DATA - 26/09 das 9:30 às 11 horas.

OUTUBRO -Próximo evento Seminário e workshop: Seminário aberto na parte da manhã, com apoio da Findeslab e Fortec Sudeste, com participação de reitores, , tema INTERAÇÃO ICT-EMPRESA NA NEOINDUSTRIALIZAÇÃO e lançamento livro ""História da Inovação no Brasil"" . O workshop será na parte da tarde, também aberto, sobre Boas Práticas para ICTs e NITs.

DATA: 3 DE OUTUBRO, manhã e tarde.

**Encaminhamentos:** preparar slide sobre o evento de outubro para apresentar à Findes.

![image.png](https://trello.com/1/cards/66cdd613b81dc3d35774f0f8/attachments/66cde3ff132f3fc237a0c57a/download/image.png)

![image.png](https://trello.com/1/cards/66cdd613b81dc3d35774f0f8/attachments/66cde0d6d035d6c87e2c9b48/download/image.png)",,,"image.png : https://trello.com/1/cards/66cdd613b81dc3d35774f0f8/attachments/66cde0d6d035d6c87e2c9b48/download/image.png
image.png : https://trello.com/1/cards/66cdd613b81dc3d35774f0f8/attachments/66cde3ff132f3fc237a0c57a/download/image.png",,0,"0 comments","2024-08-27T14:38:04.982Z"
"Reunião Equipe 07/08/24","66b36225cf7da8915eeae65c",92,"https://trello.com/c/1sE4HdnB/92-reunião-equipe-07-08-24","Programa Em Rede - Ciclo 2","64624187bb4f9c38ba5d9d52","DOCUMENTOS E REUNIÕES DE EQUIPE","647f94dd8cbad12a13685347","Cecilia Hasner, Gabriel T., YOGUI","","2024-08-07 09:01","2024-08-07","**Pauta:** Apresentação do Plano de Trabalho, Trello e o Seminário de Economia Azul

**Desenvolvimento**: Participar do evento da EDP dia 22 na Findes; Dia 26 de agosto à tarde será o workshop com os NITs, dia 27 de manhã realizar uma reunião com o Naldo, da Findes; Apresentação do Seminário - planejar um plano B, para evitar turismo e sim garantir parcerias futuras

_**Potenciais Parcerias & Eventos**_

- iUP IBP - [https://iupenergia.com.br/](https://iupenergia.com.br/ ""‌"")
- Mining Hub - [https://www.mininghub.com.br/](https://www.mininghub.com.br/ ""smartCard-inline"")
- Comunidade BIN@ e evento BIN@Porto [https://fe.up.pt/binporto/2024/](https://fe.up.pt/binporto/2024/ ""smartCard-inline"")
- Conferencia ANPEI [https://conferenciaanpei.org.br/](https://conferenciaanpei.org.br/ ""smartCard-inline"")
- Startup Summit [https://www.startupsummit.com.br/](https://www.startupsummit.com.br/ ""‌"")

![image.png](https://trello.com/1/cards/66b36225cf7da8915eeae65c/attachments/66b3625ffb1e5cb304d0f198/download/image.png)",,,"image.png : https://trello.com/1/cards/66b36225cf7da8915eeae65c/attachments/66b3625ffb1e5cb304d0f198/download/image.png",,0,"0 comments","2024-08-12T14:05:25.844Z"
"Reunião equipe com Yogui - 05/08/2024","66b105882f46f9e0ed646c0a",91,"https://trello.com/c/RP4sTuru/91-reunião-equipe-com-yogui-05-08-2024","Programa Em Rede - Ciclo 2","64624187bb4f9c38ba5d9d52","DOCUMENTOS E REUNIÕES DE EQUIPE","647f94dd8cbad12a13685347","Gabriel T., Programa Em Rede, YOGUI","","2024-08-05 14:02","2024-08-06","**Pauta**:

Adequar cronograma de atividades e Plano de Trabalho

**Desdobramento**:

Rede de Inovação do ES - criar uma estratégia de marketing para o Programa em Rede

Fazer um workshop de cocriação da _Rede de CT&I_.

Criar um nome, marca para poder fazer um branding….averiguar se a Secti teria que ser integrada ou não.

Pensar em alinhar por eixos (podem ser vinculados pelas missões da neoindustrialização - [https://www.gov.br/mdic/pt-br/composicao/se/cndi/plano-de-acao/nova-industria-brasil-plano-de-acao.pdf](https://www.gov.br/mdic/pt-br/composicao/se/cndi/plano-de-acao/nova-industria-brasil-plano-de-acao.pdf ""‌""))

ex. Pacto Porto Alegre - [https://pactoalegre.poa.br](https://pactoalegre.poa.br ""smartCard-inline"")

Data de reunião: 26 e 27 de agosto com os NITs.

Encaminhamento: reuniões semanais (2x por semana), 4a feira 7 às 9 am.

‌

‌

![image.png](https://trello.com/1/cards/66b105882f46f9e0ed646c0a/attachments/66b105acc858bd4ab3ca9dcd/download/image.png)",,,"image.png : https://trello.com/1/cards/66b105882f46f9e0ed646c0a/attachments/66b105acc858bd4ab3ca9dcd/download/image.png",,0,"0 comments","2024-08-07T12:57:11.302Z"
"Reunião Equipe - 15/07/2024","66952d8443eded77dd376d5b",87,"https://trello.com/c/Mu4jLr08/87-reunião-equipe-15-07-2024","Programa Em Rede - Ciclo 2","64624187bb4f9c38ba5d9d52","DOCUMENTOS E REUNIÕES DE EQUIPE","647f94dd8cbad12a13685347","","","2024-07-15 11:09","2024-07-15","- Seminário Brasil -Chile -
  - Atualizações: contato com Marcelo Polese + e-mails enviados para Governo Federal e Estadual sobre o evento.
  - Contato feito com Bloom Ocean
- Novo integrante equipe Em Rede
  - Contrato em confeccção
  - Alinhamento início 01/08
  - Necessário alinhar sobre os Grupos de Trabalhos - foco no grupo de Captação de Recursos
- **Pauta reunião Coordenadores - 24/07**
  - Atualização sobre o Seminário Brasil-Chile
    - Evento de Economia Verde x Economia Azul - quem é o responsável?
  - Atualização sobre situação novo integrante do Em Rede - iniciar em 01/08 + 11 meses - aprovado?
  - Atualização dos avanços dos Grupos de Trabalho - cronograma GT bolsistas - 6 encontros quinzenais (Jul - Out/24)
  - Definir data do evento online de interiorização: fazer uma edição online - 1h30 : Apresentação + 1 oficina curta (Rodada de Negócio + Plano de Marketing) + Próximos passos (capacitação)   + saber qual demanda em termos de capacitação - levar na próxima reunião dos coordenadores para agendamento de datas (eles mobilizarão as pessoas para participarem)
  - FORTEC - responderam à pesquisa? participação no Fortec Nacional?
  - programa governo RHAE - [https://www.gov.br/mcti/pt-br/acompanhe-o-mcti/noticias/2024/07/programa-do-mcti-cnpq-busca-inserir-mestres-e-doutores-nas-empresas](https://www.gov.br/mcti/pt-br/acompanhe-o-mcti/noticias/2024/07/programa-do-mcti-cnpq-busca-inserir-mestres-e-doutores-nas-empresas ""smartCard-inline"") - alguém está vislumbrando isso nos NITs?
  - Política de Inovação - IFES e UFES - OK x Incaper - ?",,,"Sem título.jpg : https://trello.com/1/cards/66952d8443eded77dd376d5b/attachments/66953026307afba06600b34b/download/Sem_t%C3%ADtulo.jpg
REGULAMENTO DA POLÍTICA DE INOVAÇÃO DO IFES : https://trello.com/1/cards/66952d8443eded77dd376d5b/attachments/66953bd18177609920923f8b/download/Res_CS_53_2012_Anexo_I.pdf
UFES - INSTITUTO DE INOVAÇÃO TECNOLÓGICA (INIT) : https://trello.com/1/cards/66952d8443eded77dd376d5b/attachments/66953bd4f43e5fb98293fa5b/download/Anexo-Resol-25-2008-CUn-Criac-INIT_(1).pdf",,0,"0 comments","2024-08-07T12:57:11.283Z"
"Reunião Equipe - 08/07/2024","668be79b8846a83fef8d050e",84,"https://trello.com/c/oqI2KSWp/84-reunião-equipe-08-07-2024","Programa Em Rede - Ciclo 2","64624187bb4f9c38ba5d9d52","DOCUMENTOS E REUNIÕES DE EQUIPE","647f94dd8cbad12a13685347","","","2024-07-08 10:20","2024-07-08","‌

- gestão de NITs
- soulscience - [https://soulscience.com.br/](https://soulscience.com.br/ ""smartCard-inline"")
- seminário economia azul - Gabriel segue mandando mensagens e fazendo conexões / solicitado contato para Elton sobre PDI /  Cecilia segue alinhando
- entregas relevantes 2 semestre: GT + Yogui + Seminário Economia Azul
  **PAUTA COORDENADORES**
- interiorização - fazer uma edição online - 1h30 : Apresentação + 1 oficina curta (Rodada de Negócio + Plano de Marketing) + Próximos passos (capacitação)   + saber qual demanda em termos de capacitação - levar na próxima reunião dos coordenadores para agendamento de datas (eles mobilizarão as pessoas para participarem)
- cronograma Yogui - alinhar com o Yogui sobre os prazos de cada fase para saber a duração e alinhar com o nosso cronograma / Renan (FAPES) vai entrar em contato com coordenadores para alinhar isso (retorno Victor FAPES 08/07)
- cronograma GT bolsistas - 6 encontros quinzenais (Jul - Out/24)
- FORTEC - responderam à pesquisa? participação no Fortec Nacional?
- programa governo RHAE - [https://www.gov.br/mcti/pt-br/acompanhe-o-mcti/noticias/2024/07/programa-do-mcti-cnpq-busca-inserir-mestres-e-doutores-nas-empresas](https://www.gov.br/mcti/pt-br/acompanhe-o-mcti/noticias/2024/07/programa-do-mcti-cnpq-busca-inserir-mestres-e-doutores-nas-empresas ""smartCard-inline"")",,,"image.png : https://trello.com/1/cards/668be79b8846a83fef8d050e/attachments/668bef028e89d6c68572c048/download/image.png",,0,"0 comments","2024-08-07T12:57:11.280Z"
